lat_yr,10QE_lag,90QE_lag,10QE_90QE_overlap,battus_10QE,battus_10QE_low_ci,battus_10QE_high_ci,archippus_10QE,archippus_10QE_low_ci,archippus_10QE_high_ci,battus_90QE,battus_90QE_low_ci,battus_90QE_high_ci,archippus_90QE,archippus_10QE_low_ci,archippus_90QE_high_ci
30_2019,15.1,-11.7,182.2,82.5,74.5,93.5,97.6,88.6,139,291.5,279,300.5,279.8,260,295.4
30_2020,19.1,-14.7,184,85.4,74,97,104.5,87,119.5,303.2,291.8,312,288.5,275.5,294.5
30_2021,41.2,-0.5,186.1,82.1,73.1,93.1,123.3,109,141.3,309.9,295.9,318.9,309.4,293.7075,318.4
30_2022,38.5,-4.5,197,66.5,50.5,81,105,98,113,306.5,295.5,315.5,302,293,311
31_2019,52.7,27.9,123.1,86.8,75.6,97.8,139.5,101,173,262.6,240.6,286.4,290.5,279.5,307
31_2020,33.4,4.9,154.8,98.2,85.6,116.2,131.6,107,170.7,286.4,272.4,296.8,291.3,276.6,299.8
31_2021,52.5,8.3,137.1,96.7,86.7,116.8,149.2,118.4,171,286.3,271.6,293,294.6,284.6,307.8
31_2022,42.1,0.9,174.3,77.3,71,87.2975,119.4,107,140,293.7,285,302,294.6,282.4,307
32_2019,41.6,-10.9,136,100.4,82,112.6,142,122,162,288.9,272,299,278,264,307
32_2020,-2.1,-7.2,170.3,116.5,108,130.5,114.4,99.8,155.8,294,268.5125,315,286.8,252.4,298.8
32_2021,24.6,1.5,138,120.2,100.4,133.6,144.8,116,176.29,282.8,274.8,299.4,284.3,275.3,293.2
32_2022,41,-5.8,162.4,85.9,64,95.6,126.9,112.9,157,295.1,277.7,307,289.3,278,296.4
33_2019,19.8,7,153.5,103.8,96,112.7,123.6,116,136,277.1,259.5,284.2,284.1,269.6,297
33_2020,-8.8,0.4,171.6,114.6,106,125,105.8,100.4,115.4,286.2,275,294.2,286.6,274.2,295
33_2021,9.9,-1.9,162.6,113.8,100,123.8,123.7,118,149.7,288.2,279.2,295,286.3,278.3,293
33_2022,27,0.2,167,97,90,109,124,116,138.8,291,279,300,291.2,279,300
34_2019,-9.4,-5.1,123.9,138.5,111,149.5,129.1,110,160.9875,267.5,241,279,262.4,249.6,270
34_2020,18.3,12.5,134.1,120.2,98.3,138.6925,138.5,125.4,179,272.6,250,285,285.1,275,291.1
34_2021,14.6,2.8,153.2,111.4,104,132.6,126,114,169,279.2,266.805,288,282,269,290
34_2022,48.6,-1.4,123.2,101.9,94,113.9,150.5,124,177,275.1,267.1,281,273.7,266,288.7
