lat_yr,10QE_lag,90QE_lag,10QE_90QE_overlap,battus_10QE,battus_10QE_low_ci,battus_10QE_high_ci,astyanax_10QE,astyanax_10QE_low_ci,astyanax_10QE_high_ci,battus_90QE,battus_90QE_low_ci,battus_90QE_high_ci,astyanax_90QE,astyanax_90QE_low_ci,astyanax_90QE_high_ci
30_2019,14,-39.9,155.1,82.5,74.5,93.5,96.5,80,115.8,291.5,279,300.5,251.6,233.2,269.2
30_2020,22,-37,158.8,85.4,74,97,107.4,92.8,121.2,303.2,291.8,312,266.2,246.2,278.6
30_2021,41,-34,152.8,82.1,73.1,93.1,123.1,97.3,135.1,309.9,295.9,318.9,275.9,263.9,288.9
30_2022,31.4,-45.4,163.2,66.5,50.5,81,97.9,75.3,112.9,306.5,295.5,315.5,261.1,246.4,279.8
31_2019,18.5,-17.7,139.6,86.8,75.6,97.8,105.3,97,140.5,262.6,240.6,286.4,244.9,221.1,251
31_2020,-11.1,-43.2,145,98.2,85.6,116.2,87.1,83,97,286.4,272.4,296.8,243.2,228,269
31_2021,40.5,-19.5,129.6,96.7,86.7,116.8,137.2,99.6,151,286.3,271.6,293,266.8,260,281.4
31_2022,28.6,-12.6,175.2,77.3,71,87.2975,105.9,98.6,117,293.7,285,302,281.1,265,291.1
32_2019,20.4,-44.3,123.8,100.4,82,112.6,120.8,98.4,153,288.9,272,299,244.6,228.8,271.4
32_2020,-22.1,-27.6,149.9,116.5,108,130.5,94.4,86,104.7,294,268.5125,315,266.4,241,279
32_2021,10.8,-8.8,143,120.2,100.4,133.6,131,102,161,282.8,274.8,299.4,274,264,286
32_2022,20.1,-22.1,167,85.9,64,95.6,106,94,125.5,295.1,277.7,307,273,252,286
33_2019,14.2,-16.1,143,103.8,96,112.7,118,106,142,277.1,259.5,284.2,261,252,272
33_2020,-11.9,-12.8,158.8,114.6,106,125,102.7,95,112.8975,286.2,275,294.2,273.4,260.2,285
