id,observed_on,quality_grade,latitude,longitude,place_town_name,place_county_name,place_state_name,scientific_name,common_name
7049,2010-05-13,research,34.6468009949,-83.9410018921,,Lumpkin,Georgia,Limenitis arthemis astyanax,Red-spotted Purple
19064,2010-06-01,research,31.8214758,-110.3222981,,Cochise,Arizona,Limenitis arthemis arizonensis,Arizona Red-spotted Purple
20543,2011-06-07,research,41.4353268324,-71.6740322113,,Washington,Rhode Island,Limenitis arthemis astyanax,Red-spotted Purple
29806,2011-08-17,research,35.3714849621,-89.9978542328,,Shelby,Tennessee,Limenitis arthemis astyanax,Red-spotted Purple
58538,2010-05-07,research,38.7291895,-83.2291862,,Scioto,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
98047,2012-06-29,research,38.9529433055,-75.9342580475,,Caroline,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
98439,2012-07-01,research,42.2923333333,-85.7406666667,,Kalamazoo,Michigan,Limenitis arthemis astyanax,Red-spotted Purple
102183,2012-07-16,research,40.080673745,-82.5066697598,,Licking,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
103991,2012-07-19,research,40.0179786363,-77.5538716077,,Franklin,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
109312,2012-07-19,research,41.1383877,-81.8637474,,Medina,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
109679,2012-08-04,research,39.0923973972,-77.6829647832,,Loudoun,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
109698,2012-08-04,research,39.1166080291,-77.7499390394,,Loudoun,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
110427,2012-08-08,research,41.1253333333,-81.349,,Portage,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
114821,2012-08-20,research,41.1279815698,-81.5428050667,Cuyahoga Falls,Summit,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
117449,2012-08-28,research,37.5208333,-77.5275,,Richmond city,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
119816,2012-07-21,research,40.0828707183,-80.5366134154,,Ohio,West Virginia,Limenitis arthemis astyanax,Red-spotted Purple
120943,2012-09-09,research,39.1440284249,-77.2507897485,,Montgomery,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
127274,2012-09-08,research,40.0015044324,-77.4342851105,,Cumberland,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
129403,2012-09-22,research,36.8738018034,-80.2978277206,,Floyd,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
134933,2012-10-13,research,32.4478985982,-81.7628417237,,Bulloch,Georgia,Limenitis arthemis astyanax,Red-spotted Purple
187085,2012-08-08,research,43.6918785715,-73.2196712494,Hubbardton,Rutland,Vermont,Limenitis arthemis astyanax,Red-spotted Purple
197921,2010-06-12,research,39.508941199,-79.1419029236,,Garrett,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
203099,2010-09-13,research,34.514371,-93.053038,,Garland,Arkansas,Limenitis arthemis astyanax,Red-spotted Purple
214442,2010-08-29,research,38.6410089621,-78.3153533936,,Rappahannock,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
216149,1993-08-28,research,36.630019,-76.4794435,,Chesapeake,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
219816,2012-05-22,research,40.2071093172,-75.8374890226,,Berks,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
251799,2012-05-25,research,41.412806,-79.08151,,Elk,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
280650,2013-05-22,research,41.192694,-81.698056,,Medina,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
282949,2013-05-30,research,41.208738,-81.810139,,Medina,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
283350,2013-05-25,research,37.324765,-76.011628,,Northampton,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
291478,2013-06-05,research,41.587924,-75.380931,,Wayne,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
304361,2013-06-17,research,32.36904,-92.009787,,,Louisiana,Limenitis arthemis astyanax,Red-spotted Purple
311638,2013-06-25,research,32.43566731,-91.96625524,,,Louisiana,Limenitis arthemis astyanax,Red-spotted Purple
312023,2013-06-25,research,41.643,-77.5853333333,,Tioga,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
327083,2003-10-19,research,35.371695,-80.096684,,Stanly,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
329408,2013-07-11,research,38.968285,-76.807739,,Prince George's,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
331404,2013-07-11,research,38.952677,-75.933925,,Caroline,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
331876,2013-07-13,research,38.9691200256,-76.8053741455,,Prince George's,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
334021,2013-07-14,research,38.968905,-76.485325,,Anne Arundel,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
337317,2013-07-17,research,38.128687,-91.082121,,Washington,Missouri,Limenitis arthemis astyanax,Red-spotted Purple
337551,2013-06-30,research,38.979642,-76.452699,,Anne Arundel,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
338528,2013-07-19,research,38.642919,-77.242903,,Prince William,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
338805,2013-07-08,research,38.538821,-75.915356,,Dorchester,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
344938,2013-07-24,research,38.034,-78.9141666667,,Augusta,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
346476,2013-07-26,research,41.091634,-81.688503,,Medina,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
347370,2013-07-27,research,41.0376666667,-74.6138333333,,Sussex,New Jersey,Limenitis arthemis astyanax,Red-spotted Purple
349926,2013-07-28,research,40.074882,-84.53598,,Darke,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
353767,2013-08-01,research,41.999394,-87.77815,Chicago,Cook,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
355751,2013-07-25,research,38.9445228577,-76.6965026855,,Prince George's,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
355828,2013-07-27,research,39.0665130615,-76.7827606201,,Anne Arundel,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
357104,2013-08-04,research,39.4117927551,-76.8421554565,,Baltimore,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
357443,2013-08-02,research,33.301467,-87.482064,,Tuscaloosa,Alabama,Limenitis arthemis astyanax,Red-spotted Purple
357757,2013-08-05,research,35.894309,-78.579975,,Wake,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
359601,2013-08-04,research,39.3603172302,-76.8857574463,,Carroll,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
361560,2013-08-10,research,42.4062083333,-71.3316116667,,Middlesex,Massachusetts,Limenitis arthemis astyanax,Red-spotted Purple
362566,2013-05-25,research,36.435726,-79.950048,,Rockingham,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
369476,2013-08-17,research,41.4391860962,-79.0651245117,,Forest,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
386179,2013-09-01,research,38.943575,-76.697548,,Prince George's,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
394938,2013-09-06,research,38.9446258545,-76.6964187622,,Prince George's,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
