latitudinal_bin,10QE_lag,90QE_lag,10QE_90QE_overlap,battus_10QE,battus_10QE_low_ci,battus_10QE_high_ci,limenitis_10QE,limenitis_10QE_low_ci,limenitis_10QE_high_ci,battus_90QE,battus_90QE_low_ci,battus_90QE_high_ci,limenitis_90QE,limenitis_90QE_low_ci,limenitis_90QE_high_ci
34,21.7,12,143,100,94,108,121.7,115,127,258,247,272,270,266,273
35,10,5.3,144,112,108,116,122,119,126.7,266,262,270.9,271.3,268,275
36,3.4,4,142.4,112.6,109,116,126.6,123,131,269,265,274,273,269,277
37,20.5,18.3,115,114.5,111,121,135,130.7,141,250,244,257.5,268.3,265,272
38,17,15,116,120,117,125,137,134,141,253,247,257.3,268,264,270.9
39,8,6,123,133,129,138,141,138,144,264,259,269,270,266.6,273
40,11,7.5,108.5,135,127,151,146,143.2,149,254.5,251,259,262,259,264.8
41,3.2,10,98.8,156.2,142.3,173.9,153,151,156,265,258,270,255,251,259
42,11.1,8.1,77.4,165.1,154.5,179.6,154,152.5,156,256.9,247.9,265,242.5,239,248
43,10.1,19.1,64.9,167.6,149,183.1,157.5,155,160,251.6,225.6,268,232.5,228,236
